number,value,datetime_start,datetime_complete,duration,params_hidden_dim,params_lr,state
2,0.5938672522054008,2025-07-05 17:52:36.243965,2025-07-05 17:52:36.751685,0 days 00:00:00.507720,128,0.006466475223592554,COMPLETE
16,0.5920143302900728,2025-07-05 17:52:45.590727,2025-07-05 17:52:46.174093,0 days 00:00:00.583366,128,0.00605024375506386,COMPLETE
3,0.5823991679186409,2025-07-05 17:52:36.895513,2025-07-05 17:52:37.395152,0 days 00:00:00.499639,128,0.007625877247010712,COMPLETE
11,0.5740706498709502,2025-07-05 17:52:42.145963,2025-07-05 17:52:42.684046,0 days 00:00:00.538083,128,0.009734122055284221,COMPLETE
12,0.57201355984437,2025-07-05 17:52:42.826821,2025-07-05 17:52:43.397844,0 days 00:00:00.571023,128,0.00982505594867622,COMPLETE
17,0.562121037019916,2025-07-05 17:52:46.313554,2025-07-05 17:52:46.883162,0 days 00:00:00.569608,128,0.002771224828796864,COMPLETE
15,0.5618321198813514,2025-07-05 17:52:44.969761,2025-07-05 17:52:45.444223,0 days 00:00:00.474462,64,0.005772083218478894,COMPLETE
10,0.5593898070033514,2025-07-05 17:52:41.483769,2025-07-05 17:52:42.008545,0 days 00:00:00.524776,128,0.0023910817269980045,COMPLETE
13,0.558041527023383,2025-07-05 17:52:43.540155,2025-07-05 17:52:44.103905,0 days 00:00:00.563750,128,0.004338052597273317,COMPLETE
1,0.5544358411340962,2025-07-05 17:52:35.556201,2025-07-05 17:52:36.102692,0 days 00:00:00.546491,64,0.004153163325512514,COMPLETE
14,0.5393909626719057,2025-07-05 17:52:44.247847,2025-07-05 17:52:44.816221,0 days 00:00:00.568374,128,0.001555459856766231,COMPLETE
4,0.5358815824954736,2025-07-05 17:52:37.536430,2025-07-05 17:52:38.135485,0 days 00:00:00.599055,128,0.0007062162462674875,COMPLETE
6,0.5298355098424439,2025-07-05 17:52:38.992481,2025-07-05 17:52:39.398581,0 days 00:00:00.406100,32,0.002514784573286848,COMPLETE
18,0.5219461458453716,2025-07-05 17:52:47.023776,2025-07-05 17:52:47.486383,0 days 00:00:00.462607,64,0.0014454751163997582,COMPLETE
9,0.5142648021880658,2025-07-05 17:52:40.765020,2025-07-05 17:52:41.342905,0 days 00:00:00.577885,128,0.0007906044107180566,COMPLETE
19,0.5099811240802805,2025-07-05 17:52:47.629054,2025-07-05 17:52:48.063130,0 days 00:00:00.434076,32,0.00044005691887649445,COMPLETE
5,0.5043433876497554,2025-07-05 17:52:38.281530,2025-07-05 17:52:38.853002,0 days 00:00:00.571472,128,0.0002178055135877592,COMPLETE
8,0.5041700373666166,2025-07-05 17:52:40.096167,2025-07-05 17:52:40.621225,0 days 00:00:00.525058,64,0.00010609850745694256,COMPLETE
0,0.5025559536191687,2025-07-05 17:52:34.968112,2025-07-05 17:52:35.409072,0 days 00:00:00.440960,32,0.00023282183536421828,COMPLETE
7,0.49557764166570356,2025-07-05 17:52:39.541658,2025-07-05 17:52:39.953617,0 days 00:00:00.411959,32,0.00010781768585202966,COMPLETE
